'<no equivalent>', 'Sensor Name', 'property', 'Name of satellite from which data was taken', 'None (could be "ERS1", "ERS2", "Envisat", "ALOS", "Terrasar-X", "Cosmo-Skymed", "Radarsat-1", "Radarsat-2")'
'x_start*', 'Coarse Offset between SLC Images', 'property', 'Range, Azimuth pixel offset to coarsely align two SLC images', 'None'
'y_start*', 'Would be a coordinate pair in ISCE'
'Threshold_mag**', 'Magnitude Threshold for Unwrapping', 'property', 'Magnitude threshold to use in creating a mask for unwrapping', '5.0e-5'
'Threshold_ph_grd**', 'Phase Gradient Threshold for Unwrapping', 'property', 'Magnitude threshold to use in creating a mask for unwrapping', '5.0e-5'
'sigma_thresh**', 'Phase Sigma Threshold for Unwrapping', 'property', 'Magnitude threshold to use in creating a mask for unwrapping', '5.0e-5'
'slope_width**', 'Slope Resolution for Thresholding', 'property', 'Magnitude threshold to use in creating a mask for unwrapping', '5.0e-5'
'smooth_width**', 'Smoothing Resolutino for Thresholding', 'property', 'Magnitude threshold to use in creating a mask for unwrapping', '5.0e-5'
'concurrent_roi', '<no equivalent>', 'N/A', 'If yes, kick off two roi jobs simultaneously', 'no'
'mapping', '<no equivalent>', 'N/A', 'Uses a DEM to computer mapping from DEM to radar coordinates', 'dem_based (other option: "inverse")'
'cleanup', '<no equivalent>', 'N/A', 'Remove large intermediate files if set to yes', 'no'
'CO_MODEL**', 'Coseismic Model', 'component', 'Component that allows various Co-Seismic model files to be imported', 'None'
'', 'needs xml description file', 'catalog', 'Separate file that describes the model and its properties', 'None'
'', '', '', 'alternatively specify all model properties, including file name, ', ''
'', '', '', 'datum, coordinate system etc, bounding box, etc. in top-level catalog', ''
'INTER_MODEL**', 'Interseismic Model', 'component', 'Component that allows various interseismic model files to be imported', 'None'
'', 'needs xml description file', 'catalog', 'Separate file that describes the model and its properties', 'None'
'', '', '', 'alternatively specify all model properties, including file name, ', ''
'', '', '', 'datum, coordinate system etc, bounding box, etc. in top-level catalog', ''
'Filt_method*', 'Adaptive Filter Method', 'property', 'Version smoothing of interferogram to employ', 'psfilt (other options: "adapt_filt", "Nons")'
'unw_method', 'Unwrapping Method', 'property', 'Unwrapping method to use', 'old (other options are "icu", "snaphu")'
'flattening', '<no equivalent>', 'N/A', 'In ROIPAC, selects either to use TOPO or reference surface to flatten', 'topo (other option: "orbit")'
'do_sim', 'Topo Simulation File Name', 'property', 'If file name is specified, use it as source for simulation output', 'None'
'do_mod', 'Coseismic Simulation File Name', 'property', 'If file name is specified, use it as source for simulation output', 'None'
'<no equivalent>', 'Interseismic Simulation File Name', 'property', 'If file name is specified, use it as source for simulation output', 'None'
'unw_mod', 'Not sure what this is', 'yes (other option: "no")'
'MAN_CUT', 'Unwrapping Cuts File Name', 'property', 'Filename of man_cut (for SIM)', 'None'
'BaselineOrder', 'Polynomial Order for Baseline Fit', 'property', 'Self explanatory', 'QUAD (other option: "LIN")'
'MPI_PARA', '<no equivalent>', 'N/A', 'Unsupported parallelization flag', 'N/A'
'NUM_PROC', '<no equivalent>', 'N/A', 'Unsupported number of parallel cores to use', 'N/A'
'ROMIO', '<no equivalent>', 'N/A', 'Unsupported parallel IO specification variable', 'N/A'
'ref_height**', 'Reference Height', 'property', 'Reference height to use for initial flattening and mocomp', '0. '
'before_z_ext*', 'Azimuth Processing Advancement', 'property', 'Percent of synthetic aperture length to extend earlier in time', 'None (0-100%)'
'after_z_ext*', 'Azimuth Processing Extension', 'property', 'Percent of synthetic aperture length to extend later in time', 'None (0-100%)'
'near_rng_ext*', 'Range Processing Advancement', 'property', 'Percent of chirp length to extend earlier in time', 'None (0-100%)'
'far_rng_ext*', 'Range Processing Extension', 'property', 'Percent of chirp length to extend later in time', 'None (0-100%)'
'valid_samples', 'Valid Pulses in Patch', 'property', 'Number of pulses of azimuth circular convolution to save', 'None (up to Patch Size)'
'patch_size', 'Patch Size', 'property', 'Power of 2 size of patch for azimuth circular convolution processing', 'None (2k, 4k, 8k, etc.)'
'number_of_patches*', 'Number of Patches', 'property', 'Total number of patches to compute even if there are more available', 'None (1-N)'
'<no equivalent>', 'Doppler', 'component'
'geo_files', '<no equivalent>', 'property', 'Flag to decide if all files should be geocoded or only some', 'twopass (other option: "all")'
'geo_intfiles', '<no equivalent>', 'property', 'Flag to decide if interferograms should be geocoded', 'no (other option: "yes")'
